match_id,date,phase,team_a,team_b,venue,xG_a,xG_b,prob_a_win,prob_draw,prob_b_win,squad_match_status,scoreline_1,scoreline_1_prob,scoreline_2,scoreline_2_prob,scoreline_3,scoreline_3_prob,scoreline_4,scoreline_4_prob,scoreline_5,scoreline_5_prob
GS_001,2026-06-11,Group A,Mexico,South Africa,MEX_CDMX,1.142,0.972,0.3774,0.3318,0.2908,ok,1-1,0.1515,0-0,0.1382,1-0,0.1205,0-1,0.1,2-0,0.0787
GS_002,2026-06-11,Group A,Korea Republic,Czech Republic,MEX_GDL,1.243,1.092,0.38,0.3143,0.3057,partial,1-1,0.1485,0-0,0.1139,1-0,0.1033,0-1,0.0886,2-1,0.0817
GS_003,2026-06-12,Group B,Canada,Bosnia and Herzegovina,CAN_TOR,1.225,1.218,0.3478,0.3075,0.3448,ok,1-1,0.1465,0-0,0.1038,1-0,0.0896,0-1,0.089,2-1,0.0794
GS_004,2026-06-12,Group D,United States,Paraguay,USA_LA,1.469,1.15,0.4286,0.2909,0.2805,ok,1-1,0.1391,1-0,0.091,2-1,0.0904,0-0,0.0889,2-0,0.0786
GS_008,2026-06-13,Group B,Qatar,Switzerland,USA_SF,1.588,1.214,0.445,0.2783,0.2767,ok,1-1,0.1323,2-1,0.0929,1-0,0.0812,2-0,0.0765,0-0,0.0759
GS_007,2026-06-13,Group C,Brazil,Morocco,USA_NY,1.214,0.896,0.4172,0.3279,0.2549,ok,1-1,0.149,0-0,0.1384,1-0,0.1301,0-1,0.0915,2-0,0.0894
GS_005,2026-06-13,Group C,Haiti,Scotland,USA_BOS,1.385,1.565,0.3234,0.2738,0.4028,ok,1-1,0.1282,1-2,0.0888,2-1,0.0786,0-1,0.0671,0-0,0.0671
GS_006,2026-06-13,Group D,Australia,Türkiye,CAN_VAN,1.938,1.003,0.5779,0.2445,0.1776,ok,1-1,0.1161,2-1,0.0996,2-0,0.0993,1-0,0.0891,0-0,0.0662
GS_010,2026-06-14,Group E,Germany,Curaçao,USA_HOU,2.419,1.305,0.6087,0.2068,0.1844,ok,2-1,0.0925,1-1,0.0864,3-1,0.0746,2-0,0.0709,2-2,0.0603
GS_011,2026-06-14,Group F,Netherlands,Japan,USA_DAL,1.648,1.53,0.394,0.2622,0.3438,ok,1-1,0.1188,2-1,0.0866,1-2,0.0804,2-2,0.0663,2-0,0.0566
GS_009,2026-06-14,Group E,Côte D'Ivoire,Ecuador,USA_PHI,1.71,0.831,0.568,0.2666,0.1655,ok,1-1,0.1265,1-0,0.1203,2-0,0.1153,2-1,0.0958,0-0,0.0934
GS_012,2026-06-14,Group F,Sweden,Tunisia,MEX_MTY,1.368,1.248,0.3805,0.2949,0.3246,ok,1-1,0.1411,0-0,0.0894,2-1,0.0854,1-0,0.0838,1-2,0.0779
GS_014,2026-06-15,Group H,Spain,Cabo Verde,USA_ATL,1.557,0.661,0.5752,0.2823,0.1424,ok,1-0,0.1548,2-0,0.1319,1-1,0.1266,0-0,0.1233,2-1,0.0872
GS_016,2026-06-15,Group G,Belgium,Egypt,USA_SEA,1.246,1.69,0.2678,0.2686,0.4636,ok,1-1,0.1263,1-2,0.0945,0-2,0.0759,0-1,0.0752,2-1,0.0696
GS_013,2026-06-15,Group H,Saudi Arabia,Uruguay,USA_MIA,1.28,1.127,0.3827,0.309,0.3084,ok,1-1,0.1469,0-0,0.107,1-0,0.0985,0-1,0.0846,2-1,0.0832
GS_015,2026-06-15,Group G,IR Iran,New Zealand,USA_LA,1.918,0.957,0.5845,0.2456,0.1699,ok,1-1,0.1171,2-0,0.1038,2-1,0.0994,1-0,0.0948,0-0,0.07
GS_017,2026-06-16,Group I,France,Senegal,USA_NY,1.173,1.195,0.338,0.313,0.3489,ok,1-1,0.1484,0-0,0.1108,0-1,0.0949,1-0,0.0928,1-2,0.0785
GS_018,2026-06-16,Group I,Iraq,Norway,USA_BOS,1.716,0.972,0.5337,0.2682,0.1981,ok,1-1,0.1283,1-0,0.1021,2-0,0.1002,2-1,0.0974,0-0,0.0828
GS_019,2026-06-16,Group J,Argentina,Algeria,USA_KC,1.301,1.05,0.4057,0.3111,0.2832,ok,1-1,0.1471,0-0,0.1122,1-0,0.1071,2-1,0.0847,0-1,0.0831
GS_020,2026-06-16,Group J,Austria,Jordan,USA_SF,1.332,1.325,0.3553,0.2928,0.3519,ok,1-1,0.1399,0-0,0.0863,2-1,0.0825,1-2,0.082,1-0,0.0774
GS_023,2026-06-17,Group K,Portugal,Congo DR,USA_HOU,1.445,1.138,0.4251,0.2936,0.2814,ok,1-1,0.1404,1-0,0.0931,0-0,0.0917,2-1,0.0898,2-0,0.0789
GS_022,2026-06-17,Group L,England,Croatia,USA_DAL,1.5,1.134,0.4403,0.2886,0.271,ok,1-1,0.138,1-0,0.0918,2-1,0.0916,0-0,0.0877,2-0,0.0808
