model,n,avg_actual_goals,avg_predicted_goals,goal_gap,ratio,top1_rate,top5_rate,o1x2_rate,brier_1x2,logloss_1x2,exact_nll_approx,one_one_pct,high_miss_gt4,avg_top_p,avg_top5_mass
lambda_1.15,36,3.028,3.033,-0.005,0.998,0.1944,0.4444,0.4722,0.636,1.0532,4.1069,91.7,8,0.1211,0.4422
lambda_1.20,36,3.028,3.165,-0.137,0.957,0.1944,0.4444,0.4722,0.637,1.0549,4.1142,86.1,8,0.1162,0.4273
lambda_1.10,36,3.028,2.902,0.126,1.043,0.1944,0.4167,0.4722,0.6352,1.0518,4.1001,94.4,8,0.1261,0.4586
lambda_1.05,36,3.028,2.77,0.258,1.093,0.1944,0.4444,0.4722,0.6345,1.0506,4.0942,94.4,8,0.1309,0.4777
lambda_1.25,36,3.028,3.297,-0.269,0.918,0.1944,0.4167,0.4722,0.6381,1.0568,4.1224,80.6,8,0.1114,0.414
hybrid_elo_poisson,36,3.028,2.654,0.374,1.141,0.1667,0.4722,0.6111,0.5717,0.9474,4.1696,83.3,8,0.1336,0.5073
asym_fav,36,3.028,2.717,0.311,1.114,0.2222,0.4722,0.4722,0.6354,1.0501,4.0336,77.8,8,0.1286,0.5093
ensemble,36,3.028,2.641,0.387,1.147,0.1944,0.5556,0.5556,0.6098,1.0132,4.0893,94.4,8,0.1358,0.4968
elo,36,3.028,2.671,0.357,1.134,0.0833,0.4167,0.5833,0.5888,0.9512,4.385,38.9,8,0.1417,0.543
base,36,3.028,2.638,0.39,1.148,0.1944,0.5,0.4722,0.634,1.0498,4.0892,94.4,8,0.1353,0.4993
recency_poisson,36,3.028,2.635,0.393,1.149,0.1944,0.5,0.4722,0.6319,1.0468,4.0883,94.4,8,0.1355,0.4991
draw_damp_0.75,36,3.028,2.638,0.39,1.148,0.2222,0.5,0.4722,0.6413,1.0633,4.0556,55.6,8,0.116,0.4826
draw_damp_0.6,36,3.028,2.638,0.39,1.148,0.1111,0.5,0.4722,0.6515,1.0839,4.3232,0.0,8,0.1146,0.4776
regularized_poisson,36,3.028,2.623,0.405,1.154,0.1944,0.4722,0.4722,0.6397,1.0597,4.0879,100.0,8,0.1387,0.4873
lambda_1.30,36,3.028,3.429,-0.401,0.883,0.1944,0.4444,0.4722,0.6393,1.0588,4.1311,80.6,8,0.1066,0.4021
lowscore_damp,36,3.028,2.638,0.39,1.148,0.0833,0.2778,0.4722,0.6488,1.0789,4.4037,0.0,8,0.1129,0.4715
