team,squad_size,kaggle_match_count,kaggle_match_rate,squad_total_market_value,squad_avg_market_value,top11_avg_market_value,top18_avg_market_value,goalkeeper_total_value,defender_total_value,midfielder_total_value,forward_total_value,squad_avg_age,total_caps,total_international_goals,forward_international_goals,goalkeeper_caps,defensive_experience_caps,recent_club_appearances_total,recent_club_goals_total,recent_club_assists_total,squad_quality_index,recent_club_goals_per_app,data_quality_warnings
Algeria,26,24,0.923,158545833.0,6969048.0,12727273.0,8113889.0,270833.0,27300000.0,45066667.0,85908333.0,26.9,777,121,76,12,325,553.6,68.2,48.8,210513333.0,0.123,
Argentina,26,26,1.0,229475000.0,9977174.0,20500000.0,12719444.0,14050000.0,10350000.0,45025000.0,160050000.0,29.1,1251,223,176,71,393,547.0,84.0,54.0,318505000.0,0.154,
Australia,26,26,1.0,22625000.0,1508333.0,1990909.0,1508333.0,2550000.0,6325000.0,650000.0,13100000.0,27.4,735,73,38,110,275,252.0,12.0,19.0,29305000.0,0.048,
Austria,26,26,1.0,187425000.0,8148913.0,15772727.0,10327778.0,2200000.0,60550000.0,120025000.0,4650000.0,28.7,1004,149,76,45,284,762.0,44.0,47.0,213755000.0,0.058,
Belgium,26,26,1.0,373575000.0,14943000.0,28454545.0,20472222.0,54000000.0,91475000.0,91100000.0,137000000.0,27.6,1085,214,121,111,247,1184.0,115.0,141.0,460295000.0,0.097,
Bosnia and Herzegovina,26,25,0.962,93756000.0,5008333.0,7172727.0,5008333.0,4680000.0,18096000.0,16172000.0,54808000.0,26.5,613,94,85,30,185,635.4,73.8,48.9,124394400.0,0.116,
Brazil,26,26,1.0,185675000.0,8841667.0,16763636.0,10302778.0,25000000.0,64925000.0,43200000.0,52550000.0,29.4,916,152,113,121,263,332.0,76.0,50.0,220590000.0,0.229,
Cabo Verde,26,25,0.962,53014000.0,2427381.0,4545455.0,2825000.0,156000.0,936000.0,8606000.0,43316000.0,29.7,825,75,35,102,217,181.0,22.9,8.3,76393200.0,0.126,
Canada,26,26,1.0,112575000.0,5628750.0,10147727.0,6248611.0,250000.0,9725000.0,101375000.0,1225000.0,27.0,973,133,86,53,311,216.0,11.0,6.0,133462500.0,0.051,
Colombia,26,26,1.0,20350000.0,1565385.0,1836364.0,1565385.0,3500000.0,4300000.0,8750000.0,3800000.0,30.1,1043,108,38,184,355,186.0,35.0,22.0,24000000.0,0.188,
Congo DR,26,25,0.962,116506000.0,5092045.0,8972727.0,6105556.0,1560000.0,38168000.0,32604000.0,44174000.0,29.1,790,80,53,32,250,662.5,45.8,41.6,145113800.0,0.069,
Croatia,26,26,1.0,310900000.0,12436000.0,24500000.0,17027778.0,19000000.0,183500000.0,96750000.0,11650000.0,28.4,1160,153,84,79,205,996.0,127.0,104.0,336075000.0,0.128,
